Feature Name,Type,Status,Implementation,Dependencies,Connected To,Missing Connections,Priority
Inbound Receive,Core Workflow,Complete,Inbound.php handler + Inbound service,inbound_orders table,Putaway recommendation + Stock ledger,Cross-dock optimization,Medium
ASN Management,Supporting,Complete,asn.php handler + Asn service,asn table,Inbound orders,Auto-linking workflow,Low
Putaway Recommendation,Core Workflow,Complete,putaway.php handler + Putaway service,zones + product_putaway_rules + location_master,Inbound + Stock locations,Automated trigger on new stock,Medium
Outbound Order,Core Workflow,Complete,outbound.php handler + Outbound service,outbound_orders + outbound_items,FEFO allocation,Auto-assignment to waves,Medium
FEFO Allocation,Core Workflow,Complete,FefoAllocator service,stock + stock_locations + putaway_location_blocks,Picklist generation,Expiry monitoring + hold automation,Low
Picklist Generation,Core Workflow,Complete,picklist.php handler + Picklist service,picklists + picklist_items,Wave planning + Picking,Dynamic priority reordering,Low
Wave Planning,Core Workflow,Partial,wave.php + waves.php handlers (DUPLICATE),waves + wave_orders table,Picklist generation,Consolidated handler,HIGH
Picking Workflow,Core Workflow,Complete,picking.php handler + PickingService,picklist_items,Staging area,Mobile UI optimization,Low
Staging,Supporting,Complete,staging.php handler + StagingService,staging table,Consolidation,Staging optimization rules,Low
Consolidation,Supporting,Complete,consolidation.php handler + ConsolidationService,consolidation table,Dispatch,UI page missing,MEDIUM
Dispatch,Supporting,Complete,dispatch.php handler + DispatchService,gi_exports table,GI Export,UI page missing,MEDIUM
Goods Issue Export,Supporting,Complete,gi_export.php handler + GiExportService,gi_exports table,Dispatch,Carrier integration,Low
Stock Ledger,Core Workflow,Complete,stock.php handler + Stock service,stock_ledger table,All inventory transactions,Real-time dashboard refresh,Low
Bin Transfer,Supporting,Complete,bintransfer.php handler + BinTransfer service,bin_transfers table,Replenishment,Automated optimization,Medium
Stock Scanning,Core Workflow,Complete,stock.php handler + Stock service,stock + stock_locations,Outbound allocation + Inbound receipt,Bulk scanning optimization,Low
Hold/Release,Supporting,Complete,stock.php handler + Stock service,stock table,Stock ledger,Notification system,Medium
Stock Take (Cycle Count),Core Workflow,Complete,stocktake.php handler + StockTake service,stock_take + stock_take_items,Stock adjustments,Automated scheduling + expiry rules,HIGH
ABC Analysis,Analytics,Partial,abc.php handler + AbcAnalysis service,products table,Replenishment prioritization,Automated daily recompute,HIGH
Replenishment,Supporting,Partial,replenishment.php handler + Replenishment service,replenishment_targets table,Bin transfer creation,Automated trigger + scheduling,HIGH
Cross-Dock Detection,Supporting,Complete,Inbound.php service,inbound_orders + outbound_orders,Inbound → Outbound direct,Direct transfer automation,MEDIUM
Dashboard Analytics,Analytics,Complete,dashboard.php handler + Custom queries,activity_log + stock tables,KPI display,Real-time WebSocket updates,Low
Activity Logging,Audit,Complete,ActivityLogger service,activity_log table,All major actions,Search and filtering UI,Low
Reports & Export,Analytics,Complete,export.php + reports.php handlers + ExcelExport service,All tables,Excel generation,PDF export + scheduling,Low
Authentication,System,Complete,auth.php handler + Auth service,users + auth_tokens table,All protected endpoints,2FA + SSO,Low
User Management,System,Complete,master.php handler,users table,Role/department assignment,User profile UI,Low
Role-Based Access,System,Complete,Auth service + api/registry.php,users table,All API endpoints,Dynamic permission management,Low
Master Data (Products),System,Complete,master.php handler,products table,Inbound + Outbound + Inventory,Bulk import/export,Low
Master Data (Customers),System,Complete,master.php handler,customers table,Outbound orders,Customer hierarchy + zones,Low
Master Data (Locations),System,Complete,master.php handler + LocationManager,location_master + zones,Putaway + Stock,Location barcode generation,Low
Zone Management,System,Complete,putaway.php handler + Putaway service,zones table,Putaway routing,Dynamic priority adjustment,Low
Location Blocking,System,Partial,putaway.php handler + Putaway service,putaway_location_blocks table,Allocation filtering,UI management page missing,MEDIUM
System Settings,System,Complete,system.php handler,settings table,Operational parameters,Configuration UI,Low
Data Reset,System,Complete,system.php handler,All tables,Testing + troubleshooting,Selective reset capability,Low
Discrepancy Logging,Supporting,Broken,discrepancy.php handler + DiscrepancyService,discrepancies table (MISSING),Picklist items,Resolution workflow + UI page,HIGH
Consolidation UI,Frontend,Missing,None,consolidation.php API,ConsolidationService,Operators can't consolidate via UI,HIGH
Dispatch UI,Frontend,Missing,None,dispatch.php API,DispatchService,Operators can't dispatch via UI,HIGH
Discrepancy UI,Frontend,Missing,None,discrepancy.php API,DiscrepancyService,Operators can't report discrepancies,HIGH
Putaway Task UI,Frontend,Partial,PutawayTasksPage.tsx,putaway.php task APIs,Putaway task tracking,Task queue optimization,MEDIUM
Mobile Picker UI,Frontend,Partial,MobilePickerUI.tsx,picking.php API,PickingService,Advanced barcode scanning,MEDIUM
Replenishment Scheduler,Backend,Missing,None,Cron runner,replenishment.php,Replenishment won't auto-execute,HIGH
ABC Scheduler,Backend,Missing,None,Cron runner,abc.php,ABC analysis won't auto-update,HIGH
Cycle Count Scheduler,Backend,Missing,None,Cron runner,stocktake.php,Scheduled counts won't trigger,HIGH
Expiry Monitoring,Backend,Missing,None,Inventory monitor service,stock + stocktake,Expired stock won't be detected,MEDIUM
Notification System,Backend,Missing,None,Email/SMS/Push service,All major actions,Users won't be notified of key events,MEDIUM
