Component|Type|Status|Dependencies|Methods/Actions|Issues
abc|Handler|Complete|AbcAnalysis,ActivityLogger|analyze,status,recompute|None
activitylog|Handler|Complete|ActivityLogger|list,modules|None
asn|Handler|Complete|Asn,ActivityLogger|list,detail,create,update,cancel|None
auth|Handler|Complete|Auth,ActivityLogger|login,logout,me|None
bintransfer|Handler|Complete|BinTransfer,ActivityLogger|list,detail,locations_with_stock,stock_at_location,create,execute,cancel|None
consolidation|Handler|Complete|ConsolidationService,ActivityLogger|consolidate,status|None
customers|Handler|Complete|Customer|list,all,detail,create,update,delete|None
cyclecount|Handler|Complete|CycleCount,ActivityLogger|list,save,create,update,delete,run_due,run_now|None
dashboard|Handler|Complete|Report,PDO|stats,aisle_detail,check_expiry_alerts,fefo_queue,alerts,insights|None
discrepancy|Handler|Complete|DiscrepancyService,ActivityLogger|log,get,list|None
dispatch|Handler|Complete|DispatchService,ActivityLogger|scan_dispatch,get,list|None
export|Handler|Complete|ExcelExport,Inbound,Outbound,Report,Stock,StockTake|inbound,outbound,customers,products,ledger,stock,stocktake,asn,report|None
gi_export|Handler|Complete|GiExportService|export|None
import|Handler|Partial|Exception|tpl_inbound,tpl_outbound,tpl_stock,inbound,outbound,stock_preview,stock_commit,auto,auto_async|Multiple exception throws for error handling; depends on import_helpers
inbound|Handler|Complete|Inbound,Putaway,Stock,ActivityLogger|list,detail,stats,search_products,scan,create,update,delete,add_item,update_item,update_item_qty,update_item_dates,update_item_pallet_no,delete_item,update_item_status,save_pallet_locations,save_item_location,advance_status,complete,repair_ledger|None
ledger|Handler|Complete|ActivityLogger,PDO|list,repair_all|Direct database queries
locations|Handler|Complete|LocationManager|list,all,detail,create,update,delete,check,available,zone_summary,suggest,parse_codes,print_labels,uom_limits_list,uom_limits_update,product_rules_list,product_rules_update,product_rules_delete|None
order|Handler|Complete|OrderService,ActivityLogger|create,get,list|None
outbound|Handler|Complete|Outbound,ActivityLogger|list,detail,stats,search_products,check_stock,create,update,add_item,pick_items,ship,complete,delete,delete_item,update_item_status|None
picking|Handler|Complete|PickingService,ActivityLogger|confirm_pick,pending_picks|None
picklist|Handler|Complete|Picklist,PicklistService,ActivityLogger|list,detail,stats,create_from_outbound,confirm,complete,delete,update_item,export_data,generate_for_wave|None
print|Handler|Partial|Picklist|Utility handler - PDF/barcode generation|No explicit actions; helper module
products|Handler|Complete|Product,ActivityLogger|list,all,detail,create,update,delete|None
putaway|Handler|Complete|Putaway,ActivityLogger|recommend,validate,list_blocks,add_block,create_block,remove_block,deactivate_block,create_task,has_open_pallets,zones,save_zone,delete_zone,zone_aisles,save_zone_aisle,delete_zone_aisle,uom_limits,save_uom_limit,product_rules,save_product_rule,delete_product_rule,aisle_map,bins,task_list,task_detail,task_assign,assign_task,unassign_task,task_update_pallet,task_complete_pallet,task_complete,task_cancel,assignable_users,get_lpn_label_data,print_lpn_label,my_tasks,scan_override|None
